Butterfly_ID	Species	Sex	EcloseMass	StdEcloseMass	10DayMass	MassChange10days	PropMassChange	WinterDestiny	WinterDestiny	Survival	Strategy	Daily_Mass_Loss	Prop_Mass_Loss
426	A_urticae	female	144.6	0.446759259	211.4	66.8	0.461964039	Alive	1	20	Diapause	-0.195	-0.000922422
427	A_urticae	male	129.4	0.094907407	163.6	34.2	0.264296754	Alive	1	20	Diapause	-0.23	-0.001405868
428	A_urticae	male	145	0.456018519	120.8	-24.2	-0.166896552	Dead	0	12	Diapause	-1.241666667	-0.010278698
429	A_urticae	female	132.3	0.162037037	207.2	74.9	0.566137566	Alive	1	20	Diapause	-0.265	-0.001278958
430	A_urticae	male	125.3	0	122.1	-3.2	-0.025538707	Dead	0	13	Diapause	-1.184615385	-0.00970201
432	A_urticae	female	163.9	0.893518519	204.5	40.6	0.24771202	Alive	1	20	Diapause	-0.195	-0.000953545
433	A_urticae	female	152.8	0.636574074	193.4	40.6	0.265706806	Dead	0	20	Diapause	-0.435	-0.002249224
434	A_urticae	female	132.8	0.173611111	186.2	53.4	0.402108434	Alive	1	20	Diapause	-0.345	-0.001852846
435	A_urticae	female	144.7	0.449074074	202.1	57.4	0.396682792	Alive	1	20	Diapause	-1.665	-0.008238496
436	A_urticae	female	135.3	0.231481481	135.8	0.5	0.003695492	Dead	0	20	Diapause	-0.16	-0.001178203
437	A_urticae	male	153.2	0.645833333	141.6	-11.6	-0.075718016	Dead	0	20	Diapause	-0.135	-0.00095339
438	A_urticae	female	143.3	0.416666667	195.6	52.3	0.364968597	Alive	1	20	Diapause	-0.285	-0.001457055
439	A_urticae	male	133.7	0.194444444	102.9	-30.8	-0.230366492	Dead	0	4	Diapause	-1.575	-0.015306122
440	A_urticae	male	140.8	0.358796296	183.2	42.4	0.301136364	Alive	1	20	Diapause	-0.24	-0.001310044
441	A_urticae	female	137.5	0.282407407	174.9	37.4	0.272	Dead	0	20	Diapause	-0.5	-0.002858776
443	A_urticae	female	157.5	0.74537037	227.1	69.6	0.441904762	Alive	1	20	Diapause	-0.245	-0.00107882
444	A_urticae	male	140.1	0.342592593	184.1	44	0.314061385	Alive	1	20	Diapause	-0.24	-0.001303639
446	A_urticae	male	126	0.016203704	115.6	-10.4	-0.082539683	Dead	0	20	Diapause	-0.44	-0.003806228
