ButterflyID	Species	Sex	EcloseMass	10DayMass	MassChange10days	PropMassChange	WinterDestiny	Survival	StdEcloseMass	AbsoluteMassChangeStd	MassChangeStd	Winter_mass_day	Mass_20_day_or_death	Daily_Mass_Loss	Prop_Mass_Loss	Strategy
450	A_urticae	male	141.3	190.5	49.2	0.348195329	Alive	1	0.37037037	0.69579031	0.325419939	20	184.8	-0.285	-0.001496063	Diapause
451	A_urticae	male	133.6	206.3	72.7	0.544161677	Alive	1	0.19212963	0.821286736	0.629157106	20	199.2	-0.355	-0.001720795	Diapause
453	A_urticae	male	135.3	171.4	36.1	0.266814486	Alive	1	0.231481481	0.544082605	0.312601124	20	165.9	-0.275	-0.001604434	Diapause
456	A_urticae	male	129	200	71	0.550387597	Alive	1	0.085648148	0.771247021	0.685598873	20	192.4	-0.38	-0.0019	Diapause
501	A_io	male	204.1	138.1	-66	-0.323370897	Dead	0	0.387743076	0.014037985	-0.373705091	6	106.3	-5.3	-0.038377987	Diapause
502	A_io	female	210.9	336.7	125.8	0.596491228	Alive	1	0.427813789	0.83402147	0.406207681	20	299.6	-1.855	-0.005509356	Diapause
503	A_io	male	218.1	193.5	-24.6	-0.112792297	Dead	0	0.470241603	0.242774566	-0.227467036	17	122.3	-4.188235294	-0.021644627	Diapause
504	A_io	female	213.4	303.4	90	0.421743205	Alive	1	0.442545669	0.696531792	0.253986123	20	263.2	-2.01	-0.006624918	Diapause
505	A_io	male	238	134.7	-103.3	-0.434033613	Dead	0	0.587507366	0	-0.587507366	7	98.9	-5.114285714	-0.037967971	Diapause
507	A_io	male	194.3	183.9	-10.4	-0.053525476	Dead	0	0.329994107	0.203137903	-0.126856205	16	107.5	-4.775	-0.025965198	Diapause
508	A_io	female	218.5	218.6	0.1	0.000457666	Dead	0	0.472598704	0.346407927	-0.126190776	20	155.9	-3.135	-0.014341263	Diapause
509	A_io	female	192.9	251.3	58.4	0.302747538	Alive	1	0.321744255	0.481420314	0.159676059	20	213.1	-1.91	-0.007600478	Diapause
510	A_io	female	230.5	284.8	54.3	0.235574837	Alive	1	0.543311727	0.619735756	0.076424029	20	216.8	-3.4	-0.011938202	Diapause
511	A_io	female	237.3	322.8	85.5	0.360303413	Alive	1	0.58338244	0.776630884	0.193248444	20	271.6	-2.56	-0.007930607	Diapause
512	A_io	female	274	376.9	102.9	0.375547445	Dead	0	0.799646435	1	0.200353565	20	314.3	-3.13	-0.00830459	Diapause
513	A_io	male	190.6	149.5	-41.1	-0.215634837	Dead	0	0.308190925	0.061106524	-0.247084402	10	106.1	-4.34	-0.0290301	Diapause
515	A_io	female	258	364.9	106.9	0.414341085	Alive	1	0.705362404	0.95045417	0.245091766	20	309.7	-2.76	-0.007563716	Diapause
517	A_io	male	210.8	179.2	-31.6	-0.149905123	Dead	0	0.427224514	0.183732453	-0.243492061	15	110.2	-4.6	-0.025669643	Diapause
518	A_io	female	230	196.9	-33.1	-0.143913043	Dead	0	0.540365351	0.256812552	-0.283552799	20	135	-3.095	-0.015718639	Diapause
519	A_io	male	237.5	270.1	32.6	0.137263158	Alive	1	0.58456099	0.559042114	-0.025518876	20	205.2	-3.245	-0.012014069	Diapause
520	A_io	female	187.9	262.8	74.9	0.398616285	Alive	1	0.292280495	0.528901734	0.236621239	20	177.7	-4.255	-0.01619102	Diapause
521	A_io	female	308	324.2	16.2	0.052597403	Alive	1	1	0.78241123	-0.21758877	20	283.8	-2.02	-0.006230722	Diapause
522	A_io	female	282.3	320.8	38.5	0.136379738	Alive	1	0.848556276	0.768373245	-0.080183031	20	297.8	-1.15	-0.003584788	Diapause
524	A_io	male	196.3	221.7	25.4	0.129393785	Dead	0	0.341779611	0.359207267	0.017427656	20	112.2	-5.475	-0.024695535	Diapause
525	A_io	female	298.4	302.9	4.5	0.015080429	Dead	0	0.943429582	0.694467382	-0.248962199	20	209.5	-4.67	-0.01541763	Diapause
527	A_io	female	260	358.2	98.2	0.377692308	Alive	1	0.717147908	0.922791082	0.205643174	20	324.7	-1.675	-0.004676159	Diapause
528	A_io	female	156.9	231.1	74.2	0.472912683	Alive	1	0.109605186	0.398018167	0.288412981	20	187.8	-2.165	-0.009368239	Diapause
529	A_io	female	196.8	307.6	110.8	0.56300813	Alive	1	0.344725987	0.713872832	0.369146845	20	270	-1.88	-0.006111834	Diapause
530	A_io	male	182.4	264.2	81.8	0.448464912	Alive	1	0.259870359	0.534682081	0.274811721	20	230.2	-1.7	-0.006434519	Diapause
531	A_io	female	229.7	325.3	95.6	0.416195037	Alive	1	0.538597525	0.786952931	0.248355406	20	269.9	-2.77	-0.008515217	Diapause
532	A_io	female	218.8	304.3	85.5	0.390767824	Dead	0	0.474366529	0.700247729	0.2258812	20	225.3	-3.95	-0.012980611	Diapause
533	A_io	male	197.7	262	64.3	0.325240263	Alive	1	0.350029464	0.525598679	0.175569215	20	207.2	-2.74	-0.010458015	Diapause
538	A_io	female	245.1	334.7	89.6	0.365565075	Alive	1	0.629345905	0.825763832	0.196417927	20	298.1	-1.83	-0.005467583	Diapause
540	A_io	female	182.7	274.2	91.5	0.500821018	Alive	1	0.261638185	0.575970273	0.314332087	20	251.2	-1.15	-0.004194019	Diapause
561	A_io	male	164.9	161.7	-3.2	-0.0194057	Dead	0	0.156747201	0.111478117	-0.045269084	20	90.6	-3.555	-0.021985158	Diapause
562	A_io	female	204.3	260.1	55.8	0.273127753	Alive	1	0.388921626	0.517753922	0.128832296	20	226.3	-1.69	-0.006497501	Diapause
563	A_io	male	138.3	186.9	48.6	0.351409978	Alive	1	0	0.21552436	0.21552436	20	150.4	-1.825	-0.00976458	Diapause
564	A_io	male	171.2	183.4	12.2	0.071261682	Alive	1	0.193871538	0.201073493	0.007201955	20	124	-2.97	-0.016194111	Diapause
565	A_io	female	208.5	254.9	46.4	0.222541966	Alive	1	0.413671184	0.496284063	0.082612878	20	201.2	-2.685	-0.010533543	Diapause
567	A_io	female	212.6	277.1	64.5	0.303386642	Alive	1	0.437831467	0.587943848	0.150112381	20	226	-2.555	-0.009220498	Diapause
568	A_io	female	191.9	200.7	8.8	0.045857217	Alive	1	0.315851503	0.272502064	-0.043349438	20	149.7	-2.55	-0.012705531	Diapause
569	A_io	male	139.4	199.8	60.4	0.433285509	Alive	1	0.006482027	0.268786127	0.2623041	20	168.1	-1.585	-0.007932933	Diapause
570	A_io	male	159.8	222.6	62.8	0.392991239	Alive	1	0.126694166	0.362923204	0.236229038	20	171.7	-2.545	-0.011433064	Diapause
